Nb=5, V_nn=3.0, V_nnn=4.5,  k_per_sector=30
  L=0  Ns=2331924  diag 1028.7s  Emin=-10.199947
  L=1  Ns=2331924  diag 1002.1s  Emin=-10.163487
  L=2  Ns=2331924  diag 977.0s  Emin=-10.147674
  L=3  Ns=2331924  diag 999.1s  Emin=-10.142576
  L=4  Ns=2331924  diag 1085.9s  Emin=-10.155408
  L=5  Ns=2331924  diag 942.9s  Emin=-10.220163

ED total: 7538.0s

Lowest 100 states:
  k=  0  E=-10.220163  dE=+0.000000  L=5
  k=  1  E=-10.199947  dE=+0.020216  L=0
  k=  2  E=-10.179928  dE=+0.040235  L=0
  k=  3  E=-10.163487  dE=+0.056676  L=1
  k=  4  E=-10.155408  dE=+0.064755  L=4
  k=  5  E=-10.154190  dE=+0.065973  L=1
  k=  6  E=-10.147674  dE=+0.072489  L=2
  k=  7  E=-10.142576  dE=+0.077587  L=3
  k=  8  E=-10.135109  dE=+0.085053  L=1
  k=  9  E=-10.134901  dE=+0.085262  L=2
  k= 10  E=-10.132760  dE=+0.087403  L=3
  k= 11  E=-10.118618  dE=+0.101545  L=4
  k= 12  E=-10.118547  dE=+0.101615  L=2
  k= 13  E=-10.113555  dE=+0.106608  L=5
  k= 14  E=-10.105531  dE=+0.114631  L=2
  k= 15  E=-10.103450  dE=+0.116713  L=3
  k= 16  E=-10.097269  dE=+0.122894  L=4
  k= 17  E=-10.094385  dE=+0.125778  L=4
  k= 18  E=-10.091439  dE=+0.128723  L=0
  k= 19  E=-10.090078  dE=+0.130084  L=3
  k= 20  E=-10.086260  dE=+0.133903  L=5
  k= 21  E=-10.084306  dE=+0.135857  L=1
  k= 22  E=-10.081712  dE=+0.138451  L=3
  k= 23  E=-10.080170  dE=+0.139993  L=2
  k= 24  E=-10.075106  dE=+0.145057  L=1
  k= 25  E=-10.069328  dE=+0.150835  L=5
  k= 26  E=-10.068953  dE=+0.151210  L=3
  k= 27  E=-10.066858  dE=+0.153304  L=0
  k= 28  E=-10.066429  dE=+0.153734  L=2
  k= 29  E=-10.066186  dE=+0.153976  L=4
  k= 30  E=-10.064010  dE=+0.156153  L=5
  k= 31  E=-10.063097  dE=+0.157066  L=5
  k= 32  E=-10.061456  dE=+0.158706  L=3
