
=== free hard-core (V_nn=V_nnn=0) ===
  L=0  Ns=  9948  diag   5.9s  Emin=-6.265764
  L=1  Ns=  9936  diag   5.9s  Emin=-6.210133
  L=2  Ns=  9936  diag   6.7s  Emin=-6.156719
  L=3  Ns=  9948  diag   7.5s  Emin=-6.381874
  L=4  Ns=  9936  diag   6.8s  Emin=-6.319274
  L=5  Ns=  9936  diag   6.7s  Emin=-6.277827
Total diag: 44.7s

Lowest 100 (Nb=3, newtrap, V_nn=0.0, V_nnn=0.0):
  k=  0  E=-6.381874  dE= 0.000000  L_tot=3
  k=  1  E=-6.319274  dE= 0.062600  L_tot=4
  k=  2  E=-6.277827  dE= 0.104047  L_tot=5
  k=  3  E=-6.267160  dE= 0.114714  L_tot=5
  k=  4  E=-6.265764  dE= 0.116110  L_tot=0
  k=  5  E=-6.231761  dE= 0.150113  L_tot=0
  k=  6  E=-6.210133  dE= 0.171741  L_tot=1
  k=  7  E=-6.209899  dE= 0.171975  L_tot=0
  k=  8  E=-6.188094  dE= 0.193780  L_tot=1
  k=  9  E=-6.176089  dE= 0.205785  L_tot=1
  k= 10  E=-6.156719  dE= 0.225155  L_tot=2
  k= 11  E=-6.149114  dE= 0.232760  L_tot=1
  k= 12  E=-6.148475  dE= 0.233399  L_tot=2
  k= 13  E=-6.146237  dE= 0.235637  L_tot=2
  k= 14  E=-6.129245  dE= 0.252629  L_tot=2
  k= 15  E=-6.124368  dE= 0.257506  L_tot=0
  k= 16  E=-6.120944  dE= 0.260930  L_tot=2
  k= 17  E=-6.105659  dE= 0.276215  L_tot=3
  k= 18  E=-6.102815  dE= 0.279059  L_tot=3
  k= 19  E=-6.097058  dE= 0.284816  L_tot=3
  k= 20  E=-6.092299  dE= 0.289575  L_tot=3
  k= 21  E=-6.083592  dE= 0.298282  L_tot=3
  k= 22  E=-6.070519  dE= 0.311355  L_tot=3
  k= 23  E=-6.065716  dE= 0.316158  L_tot=3
  k= 24  E=-6.057271  dE= 0.324603  L_tot=4
  k= 25  E=-6.053537  dE= 0.328337  L_tot=4
  k= 26  E=-6.053294  dE= 0.328580  L_tot=1
  k= 27  E=-6.051513  dE= 0.330361  L_tot=4
  k= 28  E=-6.043102  dE= 0.338772  L_tot=4
  k= 29  E=-6.034518  dE= 0.347356  L_tot=4
  k= 30  E=-6.033335  dE= 0.348539  L_tot=4
  k= 31  E=-6.028654  dE= 0.353220  L_tot=4
  k= 32  E=-6.026722  dE= 0.355152  L_tot=4
  k= 33  E=-6.013228  dE= 0.368646  L_tot=5
  k= 34  E=-6.007186  dE= 0.374688  L_tot=5
  k= 35  E=-6.005998  dE= 0.375876  L_tot=5
  k= 36  E=-6.002677  dE= 0.379197  L_tot=5
  k= 37  E=-5.995554  dE= 0.386320  L_tot=5
  k= 38  E=-5.991280  dE= 0.390594  L_tot=5
  k= 39  E=-5.989709  dE= 0.392165  L_tot=5
  k= 40  E=-5.986294  dE= 0.395580  L_tot=5
  k= 41  E=-5.979170  dE= 0.402704  L_tot=5
  k= 42  E=-5.969701  dE= 0.412173  L_tot=0
  k= 43  E=-5.969486  dE= 0.412388  L_tot=2
  k= 44  E=-5.968559  dE= 0.413315  L_tot=5
  k= 45  E=-5.958370  dE= 0.423504  L_tot=0
  k= 46  E=-5.952284  dE= 0.429590  L_tot=0
  k= 47  E=-5.951737  dE= 0.430137  L_tot=0
  k= 48  E=-5.950054  dE= 0.431820  L_tot=0
  k= 49  E=-5.948506  dE= 0.433368  L_tot=0
  k= 50  E=-5.945061  dE= 0.436813  L_tot=0
  k= 51  E=-5.941300  dE= 0.440574  L_tot=0
  k= 52  E=-5.940496  dE= 0.441378  L_tot=0
  k= 53  E=-5.932846  dE= 0.449028  L_tot=0
  k= 54  E=-5.924512  dE= 0.457362  L_tot=0
  k= 55  E=-5.922097  dE= 0.459777  L_tot=1
  k= 56  E=-5.917781  dE= 0.464093  L_tot=1
  k= 57  E=-5.914186  dE= 0.467688  L_tot=0
  k= 58  E=-5.913918  dE= 0.467956  L_tot=3
  k= 59  E=-5.909802  dE= 0.472072  L_tot=1
  k= 60  E=-5.904667  dE= 0.477207  L_tot=1
  k= 61  E=-5.903577  dE= 0.478297  L_tot=1
  k= 62  E=-5.900169  dE= 0.481705  L_tot=1
  k= 63  E=-5.897610  dE= 0.484264  L_tot=1
  k= 64  E=-5.895884  dE= 0.485990  L_tot=1
  k= 65  E=-5.893028  dE= 0.488846  L_tot=1
  k= 66  E=-5.888041  dE= 0.493833  L_tot=1
  k= 67  E=-5.885322  dE= 0.496552  L_tot=4
  k= 68  E=-5.885184  dE= 0.496690  L_tot=1
  k= 69  E=-5.883219  dE= 0.498655  L_tot=1
  k= 70  E=-5.880816  dE= 0.501058  L_tot=2
  k= 71  E=-5.879521  dE= 0.502353  L_tot=1
  k= 72  E=-5.873878  dE= 0.507996  L_tot=1
  k= 73  E=-5.866090  dE= 0.515784  L_tot=2
  k= 74  E=-5.865190  dE= 0.516684  L_tot=2
  k= 75  E=-5.857986  dE= 0.523888  L_tot=2
  k= 76  E=-5.857480  dE= 0.524394  L_tot=5
  k= 77  E=-5.854939  dE= 0.526935  L_tot=2
  k= 78  E=-5.850104  dE= 0.531770  L_tot=2
  k= 79  E=-5.848435  dE= 0.533439  L_tot=2
  k= 80  E=-5.846419  dE= 0.535455  L_tot=2
  k= 81  E=-5.844603  dE= 0.537271  L_tot=2
  k= 82  E=-5.842883  dE= 0.538991  L_tot=2
  k= 83  E=-5.839006  dE= 0.542868  L_tot=2
  k= 84  E=-5.838625  dE= 0.543249  L_tot=2
  k= 85  E=-5.837814  dE= 0.544060  L_tot=3
  k= 86  E=-5.834848  dE= 0.547026  L_tot=2
  k= 87  E=-5.832674  dE= 0.549200  L_tot=2
  k= 88  E=-5.826835  dE= 0.555039  L_tot=2
  k= 89  E=-5.824570  dE= 0.557304  L_tot=3
  k= 90  E=-5.824437  dE= 0.557437  L_tot=0
  k= 91  E=-5.821698  dE= 0.560176  L_tot=3
  k= 92  E=-5.820076  dE= 0.561798  L_tot=2
  k= 93  E=-5.819071  dE= 0.562803  L_tot=2
  k= 94  E=-5.818426  dE= 0.563448  L_tot=4
  k= 95  E=-5.813954  dE= 0.567920  L_tot=3
  k= 96  E=-5.813425  dE= 0.568449  L_tot=3
  k= 97  E=-5.813185  dE= 0.568689  L_tot=3
  k= 98  E=-5.807412  dE= 0.574462  L_tot=3
  k= 99  E=-5.802320  dE= 0.579554  L_tot=3
Saved data: data/nb3/kagome_disk_nb3_newtrap_free_n100.npz
Saved: figures/nb3/kagome_disk_nb3_newtrap_free_n100.png

=== V_nn=1, V_nnn=1.5 ===
  L=0  Ns=  9948  diag   6.0s  Emin=-6.057154
  L=1  Ns=  9936  diag   5.8s  Emin=-6.031221
  L=2  Ns=  9936  diag   5.8s  Emin=-6.015969
  L=3  Ns=  9948  diag   5.9s  Emin=-6.038149
  L=4  Ns=  9936  diag   5.7s  Emin=-6.002283
  L=5  Ns=  9936  diag   5.8s  Emin=-5.963322
Total diag: 40.8s

Lowest 100 (Nb=3, newtrap, V_nn=1.0, V_nnn=1.5):
  k=  0  E=-6.057154  dE= 0.000000  L_tot=0
  k=  1  E=-6.038149  dE= 0.019005  L_tot=3
  k=  2  E=-6.031221  dE= 0.025933  L_tot=1
  k=  3  E=-6.015969  dE= 0.041186  L_tot=2
  k=  4  E=-6.002283  dE= 0.054871  L_tot=4
  k=  5  E=-5.977495  dE= 0.079659  L_tot=3
  k=  6  E=-5.963322  dE= 0.093832  L_tot=5
  k=  7  E=-5.946436  dE= 0.110718  L_tot=2
  k=  8  E=-5.943498  dE= 0.113656  L_tot=5
  k=  9  E=-5.929811  dE= 0.127343  L_tot=0
  k= 10  E=-5.927595  dE= 0.129560  L_tot=3
  k= 11  E=-5.921911  dE= 0.135244  L_tot=4
  k= 12  E=-5.913836  dE= 0.143318  L_tot=0
  k= 13  E=-5.913586  dE= 0.143568  L_tot=5
  k= 14  E=-5.900132  dE= 0.157022  L_tot=4
  k= 15  E=-5.891924  dE= 0.165230  L_tot=1
  k= 16  E=-5.888259  dE= 0.168895  L_tot=3
  k= 17  E=-5.879395  dE= 0.177759  L_tot=5
  k= 18  E=-5.878265  dE= 0.178889  L_tot=0
  k= 19  E=-5.875112  dE= 0.182042  L_tot=1
  k= 20  E=-5.868728  dE= 0.188426  L_tot=1
  k= 21  E=-5.856532  dE= 0.200622  L_tot=0
  k= 22  E=-5.854133  dE= 0.203021  L_tot=1
  k= 23  E=-5.853406  dE= 0.203748  L_tot=5
  k= 24  E=-5.852594  dE= 0.204560  L_tot=4
  k= 25  E=-5.845264  dE= 0.211890  L_tot=2
  k= 26  E=-5.844793  dE= 0.212361  L_tot=4
  k= 27  E=-5.837711  dE= 0.219443  L_tot=1
  k= 28  E=-5.836094  dE= 0.221060  L_tot=2
  k= 29  E=-5.816271  dE= 0.240883  L_tot=0
  k= 30  E=-5.814154  dE= 0.243000  L_tot=2
  k= 31  E=-5.811982  dE= 0.245172  L_tot=3
  k= 32  E=-5.804856  dE= 0.252298  L_tot=3
  k= 33  E=-5.802071  dE= 0.255083  L_tot=5
  k= 34  E=-5.800728  dE= 0.256426  L_tot=2
  k= 35  E=-5.798520  dE= 0.258634  L_tot=1
  k= 36  E=-5.795731  dE= 0.261423  L_tot=0
  k= 37  E=-5.792889  dE= 0.264265  L_tot=5
  k= 38  E=-5.788348  dE= 0.268806  L_tot=3
  k= 39  E=-5.787926  dE= 0.269228  L_tot=2
  k= 40  E=-5.787334  dE= 0.269820  L_tot=2
  k= 41  E=-5.783080  dE= 0.274074  L_tot=3
  k= 42  E=-5.770057  dE= 0.287097  L_tot=4
  k= 43  E=-5.762855  dE= 0.294299  L_tot=0
  k= 44  E=-5.760285  dE= 0.296869  L_tot=4
  k= 45  E=-5.760195  dE= 0.296959  L_tot=1
  k= 46  E=-5.759860  dE= 0.297294  L_tot=3
  k= 47  E=-5.755229  dE= 0.301925  L_tot=3
  k= 48  E=-5.751280  dE= 0.305874  L_tot=0
  k= 49  E=-5.743194  dE= 0.313960  L_tot=3
  k= 50  E=-5.741588  dE= 0.315566  L_tot=4
  k= 51  E=-5.739892  dE= 0.317262  L_tot=1
  k= 52  E=-5.738051  dE= 0.319103  L_tot=3
  k= 53  E=-5.735195  dE= 0.321959  L_tot=5
  k= 54  E=-5.733756  dE= 0.323398  L_tot=2
  k= 55  E=-5.728905  dE= 0.328249  L_tot=5
  k= 56  E=-5.728386  dE= 0.328768  L_tot=0
  k= 57  E=-5.725077  dE= 0.332077  L_tot=4
  k= 58  E=-5.721708  dE= 0.335446  L_tot=2
  k= 59  E=-5.719024  dE= 0.338130  L_tot=4
  k= 60  E=-5.717097  dE= 0.340057  L_tot=1
  k= 61  E=-5.713784  dE= 0.343370  L_tot=4
  k= 62  E=-5.712512  dE= 0.344642  L_tot=3
  k= 63  E=-5.711233  dE= 0.345921  L_tot=5
  k= 64  E=-5.703806  dE= 0.353348  L_tot=5
  k= 65  E=-5.700742  dE= 0.356412  L_tot=4
  k= 66  E=-5.693547  dE= 0.363607  L_tot=0
  k= 67  E=-5.692877  dE= 0.364277  L_tot=4
  k= 68  E=-5.692150  dE= 0.365004  L_tot=1
  k= 69  E=-5.688448  dE= 0.368706  L_tot=2
  k= 70  E=-5.686713  dE= 0.370441  L_tot=5
  k= 71  E=-5.681828  dE= 0.375326  L_tot=5
  k= 72  E=-5.680695  dE= 0.376459  L_tot=0
  k= 73  E=-5.680547  dE= 0.376607  L_tot=3
  k= 74  E=-5.679839  dE= 0.377315  L_tot=4
  k= 75  E=-5.669954  dE= 0.387200  L_tot=1
  k= 76  E=-5.666250  dE= 0.390904  L_tot=3
  k= 77  E=-5.661086  dE= 0.396069  L_tot=0
  k= 78  E=-5.660999  dE= 0.396155  L_tot=2
  k= 79  E=-5.660975  dE= 0.396179  L_tot=5
  k= 80  E=-5.658676  dE= 0.398478  L_tot=0
  k= 81  E=-5.658540  dE= 0.398614  L_tot=1
  k= 82  E=-5.657367  dE= 0.399787  L_tot=4
  k= 83  E=-5.654944  dE= 0.402211  L_tot=5
  k= 84  E=-5.653993  dE= 0.403161  L_tot=1
  k= 85  E=-5.652987  dE= 0.404167  L_tot=5
  k= 86  E=-5.652957  dE= 0.404197  L_tot=2
  k= 87  E=-5.647934  dE= 0.409220  L_tot=0
  k= 88  E=-5.646210  dE= 0.410944  L_tot=5
  k= 89  E=-5.640255  dE= 0.416899  L_tot=0
  k= 90  E=-5.638692  dE= 0.418462  L_tot=2
  k= 91  E=-5.636898  dE= 0.420256  L_tot=3
  k= 92  E=-5.634740  dE= 0.422414  L_tot=5
  k= 93  E=-5.633672  dE= 0.423483  L_tot=4
  k= 94  E=-5.629049  dE= 0.428105  L_tot=0
  k= 95  E=-5.623441  dE= 0.433713  L_tot=1
  k= 96  E=-5.620491  dE= 0.436664  L_tot=0
  k= 97  E=-5.620076  dE= 0.437078  L_tot=2
  k= 98  E=-5.616835  dE= 0.440319  L_tot=5
  k= 99  E=-5.611809  dE= 0.445345  L_tot=1
Saved data: data/nb3/kagome_disk_nb3_newtrap_vnn1_vnnn1p5_n100.npz
Saved: figures/nb3/kagome_disk_nb3_newtrap_vnn1_vnnn1p5_n100.png
