  L=0  Ns=  9948  diag   9.8s  Emin=-6.422623
  L=1  Ns=  9936  diag   9.3s  Emin=-6.401274
  L=2  Ns=  9936  diag   9.2s  Emin=-6.401959
  L=3  Ns=  9948  diag   9.3s  Emin=-6.444417
  L=4  Ns=  9936  diag  10.2s  Emin=-6.436503
  L=5  Ns=  9936  diag  10.3s  Emin=-6.419126
Total diag: 66.6s

Lowest 100 states (Nb=3, V_nn=1.0, V_nnn=1.5):
  k=  0  E=-6.444417  dE= 0.000000  L_tot=3
  k=  1  E=-6.436503  dE= 0.007913  L_tot=4
  k=  2  E=-6.422623  dE= 0.021793  L_tot=0
  k=  3  E=-6.419126  dE= 0.025291  L_tot=5
  k=  4  E=-6.401959  dE= 0.042458  L_tot=2
  k=  5  E=-6.401274  dE= 0.043142  L_tot=1
  k=  6  E=-6.400499  dE= 0.043918  L_tot=5
  k=  7  E=-6.400256  dE= 0.044160  L_tot=0
  k=  8  E=-6.393526  dE= 0.050891  L_tot=1
  k=  9  E=-6.385772  dE= 0.058645  L_tot=0
  k= 10  E=-6.384768  dE= 0.059649  L_tot=3
  k= 11  E=-6.379417  dE= 0.065000  L_tot=2
  k= 12  E=-6.375206  dE= 0.069211  L_tot=1
  k= 13  E=-6.365049  dE= 0.079367  L_tot=2
  k= 14  E=-6.364453  dE= 0.079964  L_tot=0
  k= 15  E=-6.362994  dE= 0.081423  L_tot=3
  k= 16  E=-6.358984  dE= 0.085433  L_tot=1
  k= 17  E=-6.355732  dE= 0.088684  L_tot=4
  k= 18  E=-6.351631  dE= 0.092786  L_tot=1
  k= 19  E=-6.351030  dE= 0.093387  L_tot=3
  k= 20  E=-6.350235  dE= 0.094182  L_tot=2
  k= 21  E=-6.340379  dE= 0.104037  L_tot=2
  k= 22  E=-6.340200  dE= 0.104217  L_tot=3
  k= 23  E=-6.338295  dE= 0.106122  L_tot=4
  k= 24  E=-6.329926  dE= 0.114491  L_tot=4
  k= 25  E=-6.328414  dE= 0.116002  L_tot=2
  k= 26  E=-6.325865  dE= 0.118552  L_tot=5
  k= 27  E=-6.323592  dE= 0.120824  L_tot=4
  k= 28  E=-6.321932  dE= 0.122485  L_tot=3
  k= 29  E=-6.319662  dE= 0.124755  L_tot=3
  k= 30  E=-6.317423  dE= 0.126994  L_tot=2
  k= 31  E=-6.317320  dE= 0.127097  L_tot=5
  k= 32  E=-6.315339  dE= 0.129078  L_tot=3
  k= 33  E=-6.314315  dE= 0.130102  L_tot=4
  k= 34  E=-6.312367  dE= 0.132050  L_tot=5
  k= 35  E=-6.306291  dE= 0.138126  L_tot=4
  k= 36  E=-6.304905  dE= 0.139512  L_tot=5
  k= 37  E=-6.303226  dE= 0.141191  L_tot=3
  k= 38  E=-6.302355  dE= 0.142062  L_tot=0
  k= 39  E=-6.299480  dE= 0.144937  L_tot=5
  k= 40  E=-6.298197  dE= 0.146220  L_tot=0
  k= 41  E=-6.295144  dE= 0.149272  L_tot=3
  k= 42  E=-6.292912  dE= 0.151504  L_tot=4
